Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
4358,22600,94400,0.22,1339,0,0,1,1,0,4,2,1,51.3,0,0,0,112038
4359,21000,83700,0.2,912,456,0,1,0,0,3,2,1,50.8,0,0,1,113274
4360,6200,72600,0.15,1079,0,0,1,0,0,2,3,0,48.8,0,0,1,73382
4361,22600,59800,0.26,696,0,72,1,0,0,2,3,1,70.6,0,0,1,81249
4362,20700,59500,0.18,720,0,121,1,0,0,2,2,1,71.5,0,0,1,99494
4363,5400,79800,0.13,986,0,0,2,0,0,3,2,1,10.6,0,0,0,72696
4364,65000,139800,1.92,1715,300,0,2,0,1,3,4,1,52.7,0,0,1,185304
4365,8200,48800,0.13,951,0,0,1,0,1,2,2,0,91.6,0,0,0,33260
4366,29600,122100,0.24,1242,600,0,1,1,0,3,2,1,53.1,0,0,1,137000
4367,28200,99600,0.2,964,450,200,1,0,0,3,2,1,52.3,252,0,1,110123
4368,42000,159100,0.55,1792,784,0,2,1,0,3,3,1,50.8,560,0,0,172000
4369,26500,112800,0.22,1354,500,0,1,1,0,3,2,1,48.7,0,0,1,141116
4370,6100,129700,0.16,1404,0,140,1,1,0,4,3,1,3.4,0,0,0,119699
4371,8600,29500,0.15,660,0,0,1,0,0,2,2,0,89.7,0,1,0,26133
4372,5300,40000,0.12,852,0,0,1,0,0,2,3,0,66.4,0,1,0,26813
4373,4100,29700,0.1,801,0,0,1,0,0,2,3,0,97.4,0,1,0,10534
4374,29200,63900,0.45,764,0,0,1,0,0,3,3,1,81.1,0,0,1,97900
4375,7500,37000,0.19,676,300,0,1,0,0,1,3,1,62.4,0,1,0,11012
4376,11100,69200,0.48,964,500,0,2,0,2,2,1,1,71.4,220,0,1,95759
4377,27400,106600,0.38,1462,0,0,2,0,1,4,4,1,84.2,117,0,1,130000
4378,47400,184100,0.21,1644,633,160,3,1,1,3,3,1,1.1,430,0,0,238140
4379,41700,140000,0.17,1431,0,0,2,1,0,3,2,1,1.2,440,0,0,185900
4380,5900,73700,0.15,1502,0,0,2,0,0,3,3,1,57.1,0,0,0,89900
4381,4500,31200,0.1,704,0,0,1,0,1,2,2,0,93.3,0,0,0,34933
4382,7800,50700,0.17,828,0,0,1,0,0,2,2,1,60.5,0,0,0,28728
4383,28300,94300,0.16,991,0,0,2,0,1,2,3,1,87.5,0,0,0,118785
4384,28300,111100,0.16,1312,0,0,1,0,0,3,3,1,61.6,0,0,1,122586
4385,30900,138000,0.2,1664,0,168,1,1,1,3,4,1,87.5,0,0,1,203010
4386,35200,138400,0.46,1559,0,132,1,1,1,2,2,1,68.6,252,0,1,194807
4387,25600,114300,0.15,1057,350,112,1,0,1,3,3,1,69.1,0,0,1,134000
4388,23800,67700,0.14,848,0,0,1,0,0,2,2,1,92.1,0,0,1,112500
4389,23800,129900,0.14,1874,0,0,1,1,1,4,4,1,88.4,304,0,1,168536
4390,85000,253400,0.97,3827,500,0,3,1,1,4,5,0,94.5,300,0,0,313591
4391,34400,98600,0.23,1053,0,0,2,0,0,3,2,1,52.6,0,0,1,133514
4392,68400,214000,0.48,1708,800,0,3,0,2,3,3,1,49.3,462,0,0,287278
4393,38400,238500,0.26,2151,390,0,2,1,1,3,3,1,53.3,702,0,0,244186
4394,27020,181400,0.16,2099,650,132,2,0,0,3,4,1,63.5,0,0,1,178177
4395,22800,123300,0.13,1373,0,66,1,0,0,3,4,1,57.5,0,0,1,108208
4396,24800,99500,0.16,1334,0,0,1,0,1,3,3,1,93.3,0,0,1,134500
4397,48000,206700,0.27,2290,0,0,2,1,1,4,3,1,72.4,0,0,1,212586
4398,51000,260700,0.31,2518,450,0,2,1,2,3,4,1,70.2,400,0,1,325000
4399,21400,62600,0.13,998,0,0,1,0,0,3,3,0,86.2,0,0,0,45000
4400,31700,92500,0.23,2148,0,207,2,0,0,4,5,0,96.7,480,1,0,123536
4401,8900,94600,0.17,1324,0,0,1,0,1,3,3,1,87.5,0,0,1,122093
4402,27100,85200,0.16,985,0,0,1,1,0,2,3,1,67.1,0,0,1,126900
4403,46600,177000,0.3,1350,300,64,2,1,1,3,3,1,41.1,0,0,1,233000
4404,47300,132500,0.21,1248,600,0,2,0,0,2,4,1,51.7,308,0,0,153945
4405,24300,81600,0.15,1010,0,0,1,0,0,2,3,1,86.6,0,0,1,116884
4406,43400,136600,0.19,1484,350,280,1,1,0,3,4,1,57.3,0,0,0,148427
4407,18300,74500,0.16,885,0,0,1,0,0,3,2,1,51.8,0,1,0,85525
4408,49000,187200,0.24,1690,300,0,2,1,1,3,4,1,50.3,0,0,1,210671
4409,62100,156500,0.51,1960,0,0,2,0,1,4,3,1,84.1,0,0,1,254000
4410,28700,84700,0.3,764,0,308,1,0,0,2,2,1,67.4,209,0,1,126881
4411,30200,113400,0.18,1754,0,96,1,0,1,4,3,0,84.1,0,0,1,130000
